,0
0,-0.2991073934996784
1,0.2838099526961386
2,0.058482802736119055
3,0.09746651220696378
4,0.015617441751063055
5,-0.06839308813816203
6,-0.002551488265153612
7,-0.27262605440976273
8,-0.09841011662796006
9,0.019163457065406675
10,-0.01008727206646487
11,-0.01367498825981528
12,-0.16974229369999172
13,-0.03387167647936096
14,-0.09838043360679549
15,-0.0811754653161465
16,0.1931214430524868
17,0.20354809794530837
18,0.1575444145134668
19,-0.04574962845251607
20,-0.052455695750526665
21,-0.19730717596462632
22,-0.14690983136423474
23,-0.11247287070347767
24,-0.09580181871382543
25,-0.02902797369135257
26,0.004693201242720768
27,0.2022683239775489
28,0.012834131266036053
29,-0.008964765596557456
30,0.0742607781397453
31,0.09319872648261907
32,-0.08340530615791941
33,-0.029681408103924056
34,0.011212748106018466
35,0.04665976264361493
36,0.016960970381191487
37,0.12641666123648143
38,-0.1455942487256645
39,-0.002151127785801066
40,-0.05040875106835507
41,-0.03276763962666074
42,-0.03610614356510311
43,-0.06491784481557827
44,-0.06010678952351789
45,-0.23847816455504756
46,-0.2343751778637042
47,-0.11181197151444167
48,0.25230088069614
