,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
0,7.814811368891944e-08,-4.12235824493379e-08,1.4175007976146151e-08,-3.321455008143111e-09,-3.716754852340254e-08,4.428003178595427e-08,-1.6197369805732267e-08,-1.2883429426083925e-07,-4.329281843037282e-08,-2.1076556705459806e-08,1.3137552273557998e-08,1.7397437351972895e-08,-1.5498637973989753e-09,-1.1582625641673875e-08,9.421762049661793e-09,-3.311868784603346e-08,1.249244414735644e-08,1.876263193651277e-08,6.713949691099503e-08,-2.9225996352375153e-09,1.9832624721571925e-08,5.629263042907021e-09,-1.4062337583212524e-08,-3.659208065854433e-08,-1.2089213457168538e-09,-4.039060761702568e-09,8.874226969907997e-09,-9.275593562564225e-08,-1.7246885007488693e-08,7.353529121892251e-10,-1.1639170424411008e-07,-1.5834763379855607e-09,4.717884468060028e-08,-4.592275859490441e-08,-3.84485350333965e-08,3.245688932205342e-09,-9.016190367631809e-08,1.936665645140546e-08,-3.7881997647448655e-09,-2.6564195805783152e-08,1.710086408138021e-08,-5.0156337634062945e-08,-5.063320974442208e-08,-5.111334288260776e-08,-7.912816439797748e-09,3.089290498931404e-08,2.716119135439274e-08,5.852626490724373e-09,-7.436947339854535e-08
1,-4.122358244937018e-08,9.491450294575252e-07,-4.951434953720213e-08,-1.8669688505034825e-07,3.893946261476871e-08,4.791728077035429e-08,3.501861843041607e-08,5.05228564901664e-08,8.986798601033829e-08,-4.0601099812648024e-08,3.9829038257891745e-09,-1.7505045602774463e-07,2.8482367324662998e-08,4.2432433907146195e-08,-7.52175440552055e-08,-3.5867292866163824e-07,1.0521637252329326e-07,1.461798288944466e-07,-2.527915410956153e-08,-4.8661047826834547e-08,5.1676513761438826e-08,-2.7013467343907028e-08,3.141569709676976e-08,4.273393009203425e-07,-5.5056400247920676e-08,3.681762341798187e-08,2.3755099591192232e-08,3.636965932262173e-08,1.6151782077690472e-08,-1.1913626217152906e-07,2.970270166301407e-07,6.465332091417708e-08,-5.3697663503124346e-08,-1.1323837618603378e-07,3.205387266320332e-07,2.524121415422157e-10,-1.5805843382429033e-07,-9.588716438707615e-09,5.927934212835131e-08,5.766635636784104e-08,-8.789732298099505e-08,1.5094452291881914e-07,-4.484254459460854e-08,-8.906223083403586e-08,1.339282998938428e-07,1.1317857258202e-07,-1.3369122262145067e-07,-1.876682290193506e-07,1.0480264377850758e-07
2,1.4175007976160606e-08,-4.951434953722612e-08,2.9287135248658325e-07,2.3211857995657455e-08,-1.63626058894721e-08,-2.9442873941719866e-08,-1.502068842972227e-09,-6.6531458329753e-08,-3.065085899481358e-08,6.265794472626724e-08,-1.8224754842433975e-10,4.4852948903150403e-08,-4.269394775490895e-08,5.137344339298502e-09,2.4304409349300524e-08,-9.005565636646525e-08,-7.749071789686001e-08,-9.9266622212353e-08,1.5932091577498659e-07,-1.1318028252446272e-08,9.967432700415911e-09,-9.62239303919981e-08,-1.6949640768340212e-08,-2.2685149172191136e-07,-3.7734039590260655e-08,-5.587708814316407e-08,1.7571852484533778e-08,-7.555823270886181e-08,-1.0597889355003713e-08,-1.169829147188636e-08,-2.4300443054155324e-07,-1.253687481400422e-07,8.909903100242978e-08,5.965647666602854e-08,-3.783966256417514e-08,-2.8765080015820007e-08,-1.2324776110036274e-07,6.433769081880971e-09,-1.2444272202355529e-08,-1.2927232013149048e-08,-3.006261905513286e-08,-7.346014838196886e-08,-2.0174167331470123e-09,-3.2338788239474764e-08,2.1449423086434827e-08,-6.042470528444087e-08,7.275598931710209e-08,6.293464272393758e-09,-9.375159299287687e-08
3,-3.3214550081267988e-09,-1.8669688505036892e-07,2.321185799566652e-08,3.163097814976526e-07,-2.5789568623339728e-08,-3.497456182861704e-08,-9.410071035976378e-09,-5.9167745955942146e-08,-7.181102180066939e-09,2.984828896748931e-08,-3.2675629950937564e-08,-1.4590959892401946e-08,-1.521864860230612e-08,-1.3085996930869697e-08,5.3003016895573884e-08,7.722671409739381e-08,-9.716699321998982e-08,1.813153548587985e-08,-2.487166096858602e-08,-2.5613226857518353e-08,-7.4740058317761e-09,9.034104191626745e-08,-8.441640266865912e-08,-1.1284654693002504e-07,-4.9945653657825554e-08,1.877940014089129e-09,-3.166661529746927e-08,4.7103065511707975e-08,-3.660392549395312e-09,1.0174861687960613e-07,-1.285472500107051e-07,-4.2014762739918676e-08,3.293283268613175e-09,6.582775656733021e-08,-1.0296219902350849e-07,-9.653436781995123e-10,-9.497299477791666e-09,6.9351956137991155e-09,-6.349776184380841e-08,3.896089074781272e-09,-5.89392307048691e-09,-4.183919252939224e-08,4.4807631809124495e-08,4.009689545762463e-08,-2.0455400024212932e-08,-5.205440159364637e-08,-2.282124192815254e-08,7.653546175410494e-08,-2.7755285240469045e-08
4,-3.716754852340235e-08,3.893946261475477e-08,-1.6362605889466633e-08,-2.5789568623341117e-08,3.4402842353324466e-07,4.837111020132405e-08,-4.144948603498563e-08,1.3436180433687366e-07,4.237122212738536e-08,1.1313510917093149e-07,-1.0886110991601359e-08,4.892709545359772e-08,-1.0695572935728725e-07,5.1607335177674476e-08,-3.062551880191457e-09,-5.913086616529329e-08,5.167676882220057e-08,-4.596783289689882e-08,-4.280674620821035e-08,3.09930864438745e-08,4.07983914974908e-08,3.4303516421690256e-08,2.1344626435652838e-08,8.198159722786772e-08,-4.701742812919448e-08,-3.9576383526813905e-08,-4.9482161176553605e-09,-6.365795873318859e-08,2.2834350139351012e-08,1.1025610622576072e-09,-5.402087913750912e-08,-1.5682706979706177e-08,-6.81356558398196e-08,-4.962928060020423e-08,1.1309673781193616e-07,-1.210811363838666e-07,7.957587969631406e-08,-1.1815646891673995e-08,2.096504037391313e-08,4.2369027029474476e-08,6.236439906719897e-08,3.715432293065342e-09,6.01889355033197e-08,9.961130893485955e-08,-2.3703058875860416e-08,-4.76942006213047e-08,-8.632892744339273e-08,-1.0700894763434774e-08,-1.1325208654931197e-07
5,4.4280031785973396e-08,4.791728077033956e-08,-2.944287394170554e-08,-3.4974561828625376e-08,4.837111020133162e-08,6.714962190009327e-07,-4.5218467627637214e-08,-3.57050012928998e-08,-9.495122803248757e-08,1.2504725424999613e-07,-3.846532423699668e-08,1.0869250396549957e-07,-3.931872072712622e-08,-2.932622024372801e-08,-1.2350274180680217e-07,2.343525432631052e-08,-9.843024543682654e-08,-6.83978248315258e-08,2.8051238726296846e-07,5.321671386749467e-08,5.9386363482010524e-08,1.0829080813855581e-07,1.136343610754825e-09,-1.5881582517926794e-07,-1.5164836646904755e-07,5.434591580530578e-08,3.7727596560825017e-08,-1.4457823943887652e-07,8.423716928682712e-08,4.87142216903181e-08,-3.729657172297873e-07,1.6426495555785552e-08,-8.93881974609778e-09,-8.567286948902922e-08,8.100522048777662e-09,-6.4096104429966595e-09,-2.057419320762444e-07,7.540415580011804e-08,5.278484494054998e-08,4.286577840168227e-08,1.1117526979097233e-07,-4.478633927288649e-08,-3.441298426053755e-08,-1.4896152746544218e-08,1.344987103113475e-08,9.80907237640791e-08,1.0119726769567911e-07,-4.735592870426949e-08,1.6752430513626404e-08
6,-1.619736980573557e-08,3.50186184304119e-08,-1.50206884297248e-09,-9.410071035975718e-09,-4.1449486034987773e-08,-4.5218467627635534e-08,1.2682753882116887e-07,-1.9929911138567432e-08,4.3285120322574107e-10,4.553918026546374e-09,-2.576729453525915e-08,-3.991614541473492e-08,1.83883799103552e-08,-3.4974988907449198e-09,-4.177674894488989e-08,-4.358436377834279e-08,1.5027457553713017e-08,1.8332693549005273e-08,-3.601074851761936e-08,-2.4309134367548933e-08,-7.700305949020685e-10,-1.1080224042031778e-08,-7.381465141162344e-09,1.0440318269989719e-08,2.3652274163631575e-08,6.639719695704649e-08,2.9365267510141022e-08,1.6243994649444263e-08,3.1128925232518193e-08,-3.9000798713083926e-08,3.729041860576047e-08,-2.854570698010361e-08,5.15123085735974e-08,4.5365936236161074e-08,6.451080383356393e-09,6.064825111479255e-08,-4.234634856203378e-08,-1.5381444977865623e-08,-3.245236854425464e-08,-6.8775042267306115e-09,-9.720367261693285e-08,4.16951989247773e-08,-1.0709414979034601e-08,-3.8370853499549476e-08,1.743618187323265e-08,-6.492322658897186e-08,3.057492817459722e-08,-1.6916087426973126e-09,3.3748699383625125e-09
7,-1.2883429426084095e-07,5.0522856490125115e-08,-6.653145832974698e-08,-5.9167745955922916e-08,1.343618043368971e-07,-3.570500129288857e-08,-1.992991113857629e-08,5.042095861759358e-07,7.287902661186763e-08,-2.5777177952474017e-10,2.4400828065352992e-08,3.565891578854127e-08,-1.4060405235778114e-07,-8.856791792659319e-09,-7.64322425851427e-08,1.7086013166300187e-07,-3.0893914623674605e-08,-8.794460673645176e-08,-1.2394229222022898e-07,2.562675625315687e-08,1.2865725665056423e-08,-2.891068294689508e-07,3.839236999646559e-08,-7.045805281146751e-08,-2.2809993167473003e-08,-9.657313616054299e-08,-5.0515588199046285e-08,2.744229039341446e-07,1.5086278499230803e-08,-5.171982352429207e-08,-4.1091406046739606e-08,-1.1107321725212014e-07,-1.877685313445249e-07,-1.3671376908632708e-07,1.5033753905429839e-07,-4.3794218210433323e-08,1.3484416618212188e-07,-2.75344824004006e-08,-2.055943149635661e-09,8.254177690973547e-08,5.157571505958289e-08,1.1083822523439323e-07,1.0437753047796605e-07,9.04306120404664e-08,3.4253878342031367e-09,1.0434471986251587e-07,4.094692400048744e-08,-7.629030220140624e-08,6.45518989010916e-08
8,-4.329281843038116e-08,8.986798601034007e-08,-3.065085899481902e-08,-7.181102180061291e-09,4.237122212737887e-08,-9.495122803248851e-08,4.3285120322614644e-10,7.28790266118603e-08,1.423938688387628e-07,-1.894289099626285e-08,-1.1447536987917895e-08,-6.032217143079284e-08,-6.322829281527705e-08,5.719001402168678e-08,5.572174436846136e-08,-2.7984416360397697e-08,2.710410121800345e-08,-4.1974271623700124e-08,-8.547167432830824e-08,-1.0453812106459808e-08,-4.561508667525779e-09,-7.145765546558224e-08,1.0320871337494612e-08,1.2107875189892456e-07,3.034232549166968e-08,-2.983596640897182e-08,-1.0973657183670764e-08,6.190275078941214e-08,5.3908178371103285e-08,-6.898314338962747e-08,1.285205019913823e-07,6.684264945762119e-08,2.229091275144939e-08,7.61765277079994e-08,1.498628567727557e-07,-2.954261837508319e-08,1.1399844912759094e-07,-2.1299315975831403e-08,1.1736522362614445e-08,3.656433643257127e-08,-1.6180850182223366e-08,4.3792444854956036e-08,1.918865236430821e-08,6.070579377882443e-08,1.927351506003186e-08,-8.402074096768059e-08,-6.150209342340309e-08,-9.343641652318956e-09,-6.186107091149668e-08
9,-2.1076556705440367e-08,-4.060109981267785e-08,6.265794472627756e-08,2.984828896748388e-08,1.1313510917093513e-07,1.2504725424999742e-07,4.5539180265467414e-09,-2.5777177954503453e-10,-1.894289099626259e-08,2.4947525323681847e-07,-5.468831354946691e-08,4.5126480772913366e-08,-1.2622069242294427e-07,-4.71020286735414e-09,-1.607922624542357e-07,-2.2911901405355647e-09,-8.926800853781088e-08,-1.135168347146486e-07,2.939789191771366e-08,1.716583337125463e-08,6.180312816491081e-09,4.265294120469172e-08,5.670001240602912e-09,-1.2119117936642098e-07,-8.121584068765231e-08,8.636439309991179e-09,1.9508779123448245e-08,-6.836853895997375e-08,9.816529839159474e-08,3.9169894738631344e-08,-2.3230865733668352e-07,-1.1392745555238918e-07,-5.691114597260325e-09,5.12898913182703e-09,-3.87745757699964e-08,-5.5453603890802604e-08,-8.119303478430932e-08,2.1399887023336446e-08,-2.6750219075759635e-09,2.5653026086742196e-08,2.5015957066104843e-08,-1.2460442443070053e-08,-3.1906780783630775e-09,7.159141419349776e-08,1.6456921310276504e-08,5.400513335762986e-09,8.468079143579212e-08,6.104882524969932e-09,-1.1784445249926298e-07
